sjvg,postcode
1578.7105788423153,1011
2764.777165354331,1012
1352.4040133779265,1013
6198.529411764706,1014
1423.9762611275964,1015
1743.7930089102124,1016
2501.236470588235,1017
1381.8764315852923,1018
953.6275626423691,1019
1302.25,1021
1445.8971631205675,1022
1459.6637554585152,1023
1051.548201438849,1024
912.8172307692307,1025
2430.7285714285713,1026
2227.6521739130435,1027
2479.6833333333334,1028
1368.520694259012,1031
1683.067714631197,1032
1337.7314323607427,1033
1167.9363957597172,1034
1404.7963470319635,1035
1032.6274509803923,1036
1733.642857142857,1037
4870.066666666667,1041
6282.971428571429,1042
6505.416666666667,1043
2879.4,1045
4068.8279569892475,1046
9759.857142857143,1047
932.111620795107,1051
1052.3836879432624,1052
1042.019536019536,1053
1496.093122337188,1054
1043.1523035230352,1055
1096.1012578616353,1056
1015.8326283987915,1057
1122.0462093862816,1058
1333.15,1059
1362.2426966292135,1060
1197.006976744186,1061
1002.7568306010929,1062
1226.5410863509749,1063
1046.895278450363,1064
1198.4683982683982,1065
1424.3975535168195,1066
1227.8471882640588,1067
959.7961741424803,1068
1116.834208552138,1069
2291.891316848764,1071
1178.4834855938159,1072
1143.941911764706,1073
1328.8507638072856,1074
1947.2308294209702,1075
1020.4445422535211,1076
1948.9463850528025,1077
1273.8510765550238,1078
1198.4274376417234,1079
1355.590618336887,1081
848.7579766536965,1082
962.9111111111112,1083
1415.0,1086
1150.156394963552,1091
1213.8504772004242,1092
1124.4448441247002,1093
1018.2802850356295,1094
1076.48347107438,1095
4677.333333333333,1096
1259.9567723342939,1097
1442.9404069767443,1098
6269.023255813953,1101
926.2658111824014,1102
601.1739837398374,1103
1077.2607407407406,1104
7815.08,1105
1388.7051671732522,1106
1230.0950819672132,1107
1267.3760162601627,1108
1480.25,1109
