sjve,postcode
3954.2913518052055,1011
9611.051229508197,1012
3622.919001218027,1013
10087.4,1014
3196.7254098360654,1015
4422.663570006635,1016
6802.456447963801,1017
3251.1040935672513,1018
4120.424427480916,1019
2979.5385542168674,1021
3103.9285714285716,1022
2799.7613793103446,1023
2738.5965147453085,1024
3232.039053254438,1025
6030.106666666667,1026
6464.8,1027
5928.933333333333,1028
3336.9873577749686,1031
3823.894675925926,1032
3924.6720396776195,1033
2876.7893725992317,1034
3567.4910714285716,1035
3764.9578947368423,1036
3922.9285714285716,1037
17241.636363636364,1041
21729.9,1042
12321.629032258064,1043
15226.0,1044
11697.6,1045
14723.781818181818,1046
10544.942857142858,1047
2672.37584396099,1051
2506.0035211267605,1052
2822.2767220902615,1053
3462.362017804154,1054
2339.9515023721665,1055
2355.747348721148,1056
2313.9363363363364,1057
2508.277738515901,1058
3169.6374269005846,1059
4030.344,1060
2902.506378802748,1061
3160.9142857142856,1062
2912.699524133243,1063
2405.7124711316396,1064
2871.804674457429,1065
3580.098383696416,1066
3140.2114285714288,1067
3023.626347305389,1068
3118.248014660965,1069
5846.868692349431,1071
3296.225851285615,1072
2653.3238095238094,1073
2850.6189376443417,1074
4397.374904361132,1075
2837.170809943865,1076
5052.745072273325,1077
2978.685545722714,1078
2509.2664455500276,1079
4167.791469194312,1081
2976.035050071531,1082
2828.217543859649,1083
4324.234939759036,1086
4435.8363914373085,1087
2644.003248862898,1091
2573.6906693711967,1092
3297.746920492721,1093
2470.5176923076924,1094
2889.7764265668848,1095
8116.232142857143,1096
2423.6969866071427,1097
3447.0921658986176,1098
16740.0,1099
12792.0,1101
3865.668401486989,1102
3799.233212341198,1103
3449.8634686346863,1104
13572.833333333334,1105
3113.8587740384614,1106
2781.5682926829268,1107
2792.7475149105367,1108
3578.344827586207,1109
