OBJECTNUMMER;Postcode4;Opp_m2;COORDS;LNG;LAT;
28;"1104";2034608;"POLYGON((4.963566 52.31659,4.964411 52.316875,4.965344 52.317153,4.966999 52.317721,4.967095 52.3178,4.9675 52.317939,4.967595 52.318019,4.970827 52.319127,4.970975 52.31916,4.971088 52.319166,4.97232 52.319156,4.972412 52.319163,4.972519 52.319189,4.972595 52.319222,4.972671 52.319275,4.973368 52.319997,4.973418 52.32003,4.973467 52.320049,4.973565 52.320064,4.974186 52.320053,4.974275 52.32004,4.974356 52.320012,4.974411 52.319979,4.974451 52.319942,4.974859 52.319401,4.974923 52.319365,4.975569 52.319129,4.975719 52.319103,4.976071 52.319102,4.976207 52.319115,4.976336 52.319146,4.976451 52.319192,4.976568 52.31927,4.976945 52.319665,4.977037 52.319742,4.977585 52.320097,4.977689 52.320179,4.978104 52.32059,4.978977 52.321528,4.97971 52.320272,4.982315 52.321234,4.991675 52.324431,4.991769 52.324266,4.992112 52.323761,4.992173 52.3237,4.992601 52.32313,4.99346 52.321944,4.994215 52.321023,4.994343 52.32082,4.994843 52.320215,4.995259 52.319609,4.995481 52.319304,4.995583 52.319188,4.99585 52.31893,4.996035 52.318698,4.996213 52.318452,4.996784 52.317753,4.996899 52.317636,4.99526 52.316787,4.994435 52.316383,4.993388 52.315892,4.992323 52.315414,4.991138 52.314908,4.990089 52.31448,4.989132 52.314108,4.988385 52.313828,4.987328 52.313447,4.971421 52.307989,4.965179 52.314811,4.963566 52.31659))";"4,98023145";"52,3162088";
29;"1109";1809674;"POLYGON((4.997884 52.313898,4.997945 52.313934,4.998082 52.314029,4.998907 52.314524,4.999658 52.314952,4.999903 52.31508,5.00039 52.315301,5.000542 52.315378,5.000969 52.315629,5.001534 52.315905,5.002208 52.316324,5.002757 52.316677,5.003445 52.317091,5.00501 52.318135,5.005201 52.318272,5.006526 52.319071,5.00678 52.31921,5.007063 52.319346,5.008463 52.320152,5.008766 52.32032,5.009364 52.320624,5.009749 52.320833,5.012245 52.322271,5.012459 52.32241,5.013691 52.323106,5.014142 52.323384,5.015066 52.323928,5.015788 52.324331,5.016137 52.324506,5.016242 52.324393,5.016325 52.324231,5.016369 52.323963,5.016438 52.323679,5.01642 52.323639,5.016503 52.323541,5.016549 52.323432,5.016585 52.323279,5.016583 52.323221,5.016655 52.322981,5.01667 52.322983,5.017349 52.320762,5.017835 52.318033,5.018243 52.315542,5.018491 52.314238,5.020143 52.304911,5.02003 52.30478,5.019604 52.304659,5.020091 52.304428,5.020248 52.304263,5.020441 52.303578,5.020619 52.302796,5.020622 52.302466,5.020645 52.302466,5.020647 52.302464,5.020107 52.302472,5.019362 52.302498,5.01909 52.302515,5.018595 52.302561,5.018307 52.302592,5.017842 52.302657,5.017132 52.302779,5.016697 52.302873,5.016688 52.302875,5.016708 52.302914,5.016395 52.302992,5.0161 52.303076,5.015238 52.303355,5.01496 52.303468,5.014734 52.303543,5.014268 52.303671,5.014231 52.303584,5.013877 52.303595,5.014034 52.303979,5.014047 52.303973,5.014291 52.304043,5.015708 52.304527,5.016376 52.304721,5.016801 52.304742,5.017259 52.304709,5.017642 52.30485,5.017138 52.304969,5.016824 52.305015,5.016499 52.305009,5.016163 52.304955,5.015769 52.304819,5.014969 52.304587,5.014494 52.304527,5.0141 52.304518,5.013669 52.304624,5.012989 52.304989,5.012044 52.305374,5.011748 52.305573,5.011373 52.305897,5.010959 52.306485,5.010751 52.306955,5.010371 52.308173,5.01043 52.308465,5.009255 52.309268,5.00806 52.309937,5.007601 52.310104,5.007004 52.310263,5.006609 52.310346,5.005976 52.310452,5.004585 52.310576,5.002911 52.310877,5.002396 52.311034,5.002112 52.311155,5.001446 52.311591,5.000967 52.311874,5.000692 52.312084,5.000446 52.312315,5.000056 52.312574,4.998955 52.31317,4.998539 52.313444,4.998126 52.313691,4.997808 52.313847,4.997884 52.313898))";"5,0092265";"52,3134832";
30;"1083";1701252;"MULTIPOLYGON(((4.880617 52.33836,4.881925 52.338317,4.883323 52.33825,4.883962 52.338195,4.884228 52.338165,4.884627 52.338108,4.885176 52.338018,4.885527 52.337951,4.886073 52.337831,4.886628 52.337682,4.887576 52.337372,4.887888 52.33725,4.888298 52.337071,4.889148 52.336655,4.890268 52.337672,4.891354 52.337107,4.890298 52.336331,4.890237 52.33628,4.890135 52.336169,4.891559 52.335474,4.891907 52.335284,4.892464 52.334959,4.892579 52.334875,4.892664 52.334783,4.892715 52.334693,4.892747 52.334573,4.892736 52.334457,4.89267 52.334262,4.893022 52.333874,4.893063 52.333854,4.893103 52.333851,4.893141 52.333858,4.893418 52.333959,4.893556 52.334,4.893696 52.334028,4.89385 52.33405,4.893945 52.334057,4.894299 52.334058,4.894597 52.33402,4.894865 52.333953,4.895143 52.333849,4.896142 52.333382,4.896205 52.333344,4.896252 52.333329,4.896383 52.333179,4.896718 52.332978,4.896776 52.332984,4.896849 52.333026,4.897295 52.333342,4.897421 52.33344,4.898275 52.333022,4.897876 52.332695,4.897755 52.332545,4.897712 52.332417,4.897724 52.332271,4.898045 52.33148,4.898251 52.331053,4.898331 52.330823,4.898471 52.330344,4.898443 52.330095,4.898289 52.329839,4.898048 52.329569,4.896588 52.328048,4.896189 52.327283,4.895913 52.326615,4.894917 52.324865,4.894686 52.324504,4.894558 52.32414,4.894698 52.323465,4.894814 52.32322,4.895129 52.322678,4.895299 52.322468,4.895409 52.322405,4.895135 52.322401,4.894919 52.322416,4.894566 52.322415,4.893645 52.322378,4.893013 52.322364,4.880825 52.322137,4.880518 52.32559,4.880511 52.326141,4.88082 52.326525,4.880793 52.327164,4.880741 52.327871,4.880849 52.328075,4.880923 52.329405,4.88091 52.333546,4.881682 52.334395,4.881693 52.335007,4.880425 52.335308,4.880383 52.337449,4.880617 52.33836)),((4.880825 52.322137,4.880826 52.322134,4.878113 52.322087,4.880825 52.322137)))";"4,88829085";"52,33022205";
31;"1055";1195495;"POLYGON((4.844803 52.380875,4.844762 52.381826,4.844579 52.385095,4.844813 52.3851,4.845032 52.385111,4.845284 52.385145,4.845604 52.385161,4.846197 52.385151,4.847176 52.385151,4.852973 52.385248,4.855107 52.3853,4.855247 52.385295,4.855658 52.385297,4.860673 52.385386,4.860711 52.384507,4.860744 52.384318,4.860811 52.384109,4.860881 52.383957,4.860971 52.383798,4.861331 52.383291,4.86162 52.382816,4.861805 52.382463,4.861922 52.38221,4.862627 52.380386,4.863583 52.377759,4.860251 52.37726,4.85993 52.377334,4.857693 52.377091,4.85692 52.376999,4.85669 52.37682,4.852964 52.376399,4.851884 52.376321,4.848344 52.375665,4.846872 52.375351,4.846492 52.375287,4.846091 52.375235,4.845558 52.375191,4.844553 52.375131,4.843011 52.375356,4.84445 52.378834,4.844625 52.379409,4.844673 52.379597,4.844729 52.379906,4.844762 52.380138,4.8448 52.380597,4.844803 52.380875))";"4,853296";"52,38025755";
32;"1068";1672925;"POLYGON((4.795326 52.364434,4.802013 52.365799,4.801477 52.366692,4.802648 52.36693,4.803212 52.366038,4.807539 52.36691,4.807617 52.366778,4.807973 52.366326,4.808671 52.36583,4.808727 52.36577,4.808812 52.36565,4.808881 52.365491,4.808903 52.365309,4.808887 52.365195,4.808829 52.365038,4.808803 52.364895,4.808799 52.364796,4.808814 52.364626,4.808853 52.36448,4.808904 52.364351,4.809241 52.363746,4.809301 52.363671,4.809359 52.363619,4.809461 52.363548,4.80953 52.363512,4.809535 52.36351,4.809182 52.363501,4.809477 52.363323,4.810088 52.363164,4.810537 52.362318,4.810825 52.36163,4.810802 52.361544,4.810744 52.361485,4.810544 52.361397,4.809392 52.361179,4.808888 52.360941,4.809031 52.360813,4.809058 52.360746,4.809059 52.360667,4.809008 52.360569,4.808929 52.360512,4.808685 52.360421,4.807987 52.36026,4.80881 52.358755,4.809217 52.35811,4.809393 52.357902,4.809617 52.357711,4.809779 52.3576,4.810033 52.357501,4.81038 52.357453,4.810685 52.357439,4.815587 52.358397,4.815566 52.358437,4.816528 52.358645,4.816692 52.358691,4.816955 52.358796,4.817073 52.358854,4.817207 52.358937,4.818559 52.358268,4.818622 52.356295,4.818066 52.356167,4.820437 52.351738,4.814195 52.351651,4.812956 52.35166,4.812665 52.351651,4.812231 52.351625,4.811712 52.351572,4.811103 52.351479,4.803608 52.349968,4.799258 52.358027,4.79816 52.359175,4.795326 52.364434))";"4,8078806";"52,35844705";
33;"1011";814604;"MULTIPOLYGON(((4.895711 52.367727,4.895786 52.367804,4.896232 52.368283,4.896366 52.36849,4.898754 52.370987,4.899295 52.371569,4.899856 52.372216,4.90053 52.372643,4.901267 52.374166,4.902273 52.376134,4.902907 52.376423,4.903528 52.375895,4.903638 52.375797,4.903735 52.375508,4.903808 52.375411,4.903939 52.375379,4.904168 52.375455,4.904409 52.375629,4.905757 52.374827,4.905384 52.374505,4.907853 52.373068,4.908657 52.372744,4.909078 52.372765,4.910001 52.372443,4.910572 52.372575,4.910943 52.372715,4.911367 52.372945,4.911656 52.373354,4.911798 52.37364,4.911861 52.374088,4.911724 52.374799,4.912548 52.374849,4.912645 52.374385,4.912691 52.373948,4.912695 52.373588,4.912634 52.372921,4.912338 52.372056,4.912115 52.371721,4.912783 52.371481,4.912732 52.371301,4.913454 52.371603,4.913413 52.37146,4.911127 52.36996,4.910037 52.369308,4.909685 52.369061,4.907104 52.367335,4.906546 52.366977,4.906371 52.366881,4.906035 52.366718,4.905631 52.366605,4.901837 52.365883,4.90149 52.366354,4.901196 52.366684,4.898877 52.367527,4.898236 52.367614,4.897281 52.367715,4.895999 52.367653,4.895711 52.367727)),((4.903373 52.37682,4.903545 52.377165,4.904259 52.377897,4.904466 52.37782,4.905042 52.378385,4.905961 52.378247,4.906164 52.378265,4.906298 52.378323,4.906349 52.378473,4.910269 52.377926,4.910355 52.377769,4.910418 52.377564,4.910524 52.376867,4.910484 52.376644,4.910678 52.375968,4.910693 52.375806,4.910642 52.375642,4.910536 52.375511,4.910364 52.375388,4.910139 52.375289,4.909887 52.375208,4.90962 52.375165,4.909261 52.375164,4.908966 52.375204,4.906503 52.375943,4.90489 52.376323,4.903373 52.37682)))";"4,9045815";"52,37217615";
34;"1045";4059731;"POLYGON((4.803904 52.417798,4.805731 52.415063,4.805596 52.414844,4.80569 52.414823,4.805236 52.414023,4.804829 52.413234,4.804545 52.412619,4.804203 52.411806,4.80414 52.4118,4.804103 52.411784,4.804063 52.4117,4.803753 52.410822,4.803484 52.409895,4.803238 52.408883,4.803134 52.408378,4.803048 52.407882,4.802952 52.407143,4.802879 52.406414,4.802798 52.405179,4.802663 52.403446,4.802608 52.40311,4.80255 52.402876,4.802506 52.402485,4.802468 52.401824,4.802448 52.401028,4.802419 52.400981,4.802343 52.400946,4.802091 52.40091,4.802051 52.400917,4.802031 52.400935,4.801679 52.400893,4.801795 52.400673,4.802109 52.399961,4.802056 52.399927,4.801903 52.399887,4.801863 52.399892,4.80182 52.399908,4.80172 52.399965,4.801386 52.399723,4.801329 52.399817,4.801146 52.399909,4.800961 52.399979,4.800672 52.400073,4.800427 52.400139,4.80018 52.400193,4.799772 52.400249,4.799417 52.400272,4.799144 52.400275,4.798912 52.400267,4.798642 52.400246,4.798253 52.400191,4.797928 52.400119,4.797388 52.399956,4.796779 52.399696,4.796304 52.399512,4.795958 52.399413,4.795708 52.399364,4.795543 52.399336,4.795298 52.399329,4.794897 52.399343,4.793787 52.399264,4.79303 52.39916,4.792715 52.399134,4.775011 52.399118,4.775023 52.399248,4.775447 52.399249,4.775609 52.399901,4.775666 52.400035,4.775726 52.400115,4.775826 52.400174,4.775925 52.400196,4.776185 52.400236,4.778991 52.400217,4.778997 52.400761,4.77873 52.400759,4.778714 52.400938,4.77898 52.400939,4.778984 52.401324,4.779047 52.401503,4.779243 52.401723,4.779414 52.401862,4.779532 52.401904,4.779783 52.401937,4.78055 52.401925,4.781122 52.401941,4.786534 52.401935,4.793271 52.401963,4.793669 52.402198,4.793624 52.403753,4.789464 52.403781,4.789457 52.403614,4.779977 52.403598,4.779975 52.403749,4.779563 52.403779,4.779175 52.403956,4.779059 52.404105,4.77855 52.404103,4.778501 52.405724,4.778909 52.405714,4.77891 52.407308,4.778943 52.408656,4.779048 52.408853,4.779339 52.409034,4.77966 52.409134,4.779899 52.409169,4.780194 52.409186,4.783833 52.409189,4.788872 52.409168,4.788966 52.409126,4.78895 52.40854,4.789194 52.408542,4.789188 52.408235,4.788989 52.408234,4.788986 52.407608,4.790232 52.407621,4.790284 52.409046,4.790328 52.409132,4.79041 52.409161,4.790526 52.409171,4.794511 52.409196,4.794509 52.409391,4.799233 52.409406,4.799232 52.410501,4.793625 52.410513,4.7936 52.411902,4.779778 52.411902,4.7795 52.411909,4.779286 52.411957,4.778952 52.412085,4.778818 52.41219,4.778696 52.412341,4.77733 52.41492,4.776704 52.416117,4.776112 52.417327,4.773613 52.422033,4.772417 52.424466,4.77248 52.424637,4.772575 52.424736,4.772781 52.424892,4.773898 52.42538,4.774125 52.425439,4.774422 52.425424,4.779735 52.424695,4.802857 52.421707,4.80298 52.42165,4.80298 52.421601,4.802887 52.42156,4.802778 52.421535,4.802632 52.421526,4.796232 52.422342,4.795883 52.422274,4.795468 52.421063,4.795698 52.421048,4.795806 52.420974,4.795945 52.420728,4.796175 52.420547,4.796458 52.420467,4.796728 52.420411,4.797284 52.420368,4.797485 52.42032,4.797819 52.420175,4.798006 52.42003,4.799253 52.418585,4.79952 52.418677,4.799698 52.418472,4.79943 52.418372,4.80066 52.41701,4.800916 52.416938,4.801134 52.416934,4.803904 52.417798))";"4,78907295";"52,4122762";
35;"1023";1699241;"POLYGON((4.940938 52.39446,4.951605 52.391285,4.952429 52.389823,4.952428 52.386302,4.95391 52.38674,4.95997 52.388198,4.960068 52.388235,4.960122 52.388273,4.960237 52.38843,4.960304 52.388484,4.960374 52.388518,4.960436 52.388537,4.962964 52.389063,4.966862 52.389994,4.968722 52.38778,4.969249 52.387136,4.969915 52.386324,4.97047 52.385598,4.97109 52.384706,4.971588 52.383914,4.971897 52.383381,4.972186 52.382843,4.972455 52.382302,4.972704 52.381758,4.972934 52.38121,4.973143 52.380659,4.973334 52.380106,4.973584 52.379258,4.973753 52.378563,4.973485 52.378382,4.973229 52.379195,4.972994 52.379806,4.969893 52.37944,4.969502 52.379303,4.969287 52.379252,4.969016 52.379269,4.968503 52.379332,4.968325 52.37953,4.966996 52.380806,4.965815 52.381873,4.965191 52.382196,4.964574 52.382774,4.963826 52.383256,4.963261 52.383527,4.96116 52.381795,4.960648 52.382034,4.961327 52.382602,4.960551 52.382954,4.960249 52.383228,4.960129 52.383309,4.959444 52.383525,4.958699 52.383722,4.956779 52.384143,4.955747 52.384299,4.954163 52.38437,4.953956 52.384369,4.953623 52.384308,4.953233 52.384323,4.951203 52.383962,4.950956 52.383952,4.950778 52.383954,4.95051 52.384019,4.949616 52.383977,4.948464 52.384041,4.948492 52.384204,4.947219 52.384242,4.947358 52.384191,4.947265 52.384092,4.946445 52.384121,4.946498 52.384265,4.946057 52.384279,4.946016 52.384188,4.945932 52.384136,4.944349 52.384181,4.944415 52.384334,4.943984 52.384354,4.944534 52.385632,4.938371 52.386727,4.939629 52.389937,4.938404 52.390766,4.938357 52.391361,4.938342 52.391786,4.937986 52.391953,4.936883 52.392405,4.936672 52.392466,4.935919 52.392596,4.935749 52.392645,4.935664 52.392686,4.935021 52.393074,4.93543 52.393151,4.935827 52.393247,4.936211 52.393363,4.939964 52.394684,4.940098 52.394694,4.940198 52.39468,4.940938 52.39446))";"4,95438595";"52,38653845";
36;"1035";2853528;"POLYGON((4.867768 52.418262,4.868422 52.418954,4.868902 52.419417,4.869385 52.419827,4.869681 52.420053,4.869992 52.420272,4.870685 52.420689,4.871553 52.421166,4.872305 52.421543,4.87313 52.421925,4.873424 52.422076,4.873698 52.42224,4.874032 52.422476,4.874329 52.422731,4.874586 52.423001,4.87507 52.423619,4.875436 52.424133,4.875832 52.424747,4.876191 52.425368,4.876562 52.426104,4.876579 52.426221,4.876972 52.426078,4.877157 52.426019,4.877471 52.425926,4.877673 52.425875,4.87801 52.425809,4.878664 52.425714,4.878863 52.425697,4.879263 52.425681,4.879526 52.425683,4.879832 52.4257,4.880326 52.425747,4.880661 52.425792,4.881642 52.426005,4.881832 52.426014,4.881936 52.426006,4.882218 52.425959,4.882367 52.425919,4.882463 52.425881,4.882579 52.425817,4.882726 52.425723,4.882973 52.425507,4.882989 52.425502,4.883278 52.425511,4.883851 52.425554,4.884429 52.425586,4.885296 52.425605,4.885843 52.425606,4.886547 52.425582,4.886877 52.425557,4.887582 52.425562,4.887575 52.425571,4.88816 52.425611,4.888927 52.425628,4.889696 52.425626,4.890877 52.425564,4.891358 52.425532,4.892107 52.42546,4.892465 52.425442,4.894396 52.425229,4.895905 52.425027,4.896239 52.424961,4.896535 52.424926,4.896728 52.42489,4.896867 52.424872,4.897145 52.424806,4.89738 52.424768,4.898351 52.424569,4.898412 52.424577,4.898388 52.424514,4.898746 52.424454,4.898747 52.424483,4.89936 52.424351,4.900063 52.424168,4.900528 52.424035,4.900762 52.423957,4.901892 52.423616,4.902778 52.423316,4.903659 52.422989,4.904133 52.422795,4.904944 52.422452,4.905388 52.422251,4.905676 52.422136,4.906331 52.421803,4.907537 52.42124,4.908088 52.421117,4.907968 52.420866,4.908558 52.420742,4.908682 52.420708,4.909623 52.420261,4.910962 52.419672,4.912868 52.418924,4.913268 52.418778,4.913599 52.418646,4.91405 52.418488,4.914328 52.41849,4.913533 52.416428,4.912718 52.415537,4.912077 52.413171,4.912012 52.411899,4.91141 52.411249,4.911065 52.410539,4.9106 52.40933,4.909041 52.408009,4.908503 52.40821,4.907331 52.408093,4.90695 52.408609,4.906749 52.408849,4.906571 52.409041,4.906284 52.409312,4.905993 52.409555,4.905551 52.40987,4.904644 52.410398,4.900096 52.413692,4.898842 52.414739,4.897849 52.415282,4.895914 52.415887,4.895192 52.415779,4.895106 52.415937,4.894969 52.415959,4.89441 52.415912,4.893527 52.415876,4.892345 52.415753,4.89162 52.415658,4.891256 52.41561,4.890695 52.415519,4.890382 52.41546,4.890076 52.415432,4.88976 52.415422,4.889534 52.415424,4.889412 52.4158,4.888844 52.415716,4.888503 52.415704,4.88822 52.415708,4.887944 52.415742,4.887423 52.415863,4.8855 52.418826,4.885045 52.419568,4.884357 52.421106,4.883463 52.42094,4.881556 52.420392,4.879977 52.419949,4.880195 52.419749,4.87938 52.419016,4.879268 52.419079,4.878403 52.419013,4.878243 52.418989,4.878145 52.418961,4.878012 52.418901,4.877939 52.418852,4.875028 52.416535,4.874992 52.416356,4.874995 52.416225,4.875014 52.416122,4.873697 52.416023,4.873459 52.416031,4.873339 52.416043,4.87311 52.416083,4.872999 52.416111,4.872893 52.416143,4.872692 52.416223,4.870782 52.417123,4.870426 52.417285,4.87006 52.41744,4.8694 52.417692,4.867768 52.418262))";"4,89104695";"52,41711325";
37;"1086";437137;"POLYGON((4.990371 52.36391,4.989049 52.362979,4.98943 52.362777,4.986627 52.3608,4.985788 52.361245,4.985344 52.360934,4.986337 52.360391,4.985373 52.360043,4.984776 52.360354,4.980442 52.358573,4.979424 52.359497,4.97974 52.359627,4.978413 52.360831,4.977121 52.360296,4.976215 52.3611,4.975409 52.360765,4.974541 52.361569,4.974834 52.361692,4.974496 52.361998,4.978556 52.364849,4.980695 52.363559,4.983629 52.364686,4.983991 52.364946,4.984247 52.365214,4.984713 52.365637,4.990371 52.36391))";"4,98243255";"52,3621053";
38;"1072";595577;"POLYGON((4.887389 52.360225,4.88766 52.360082,4.887951 52.359889,4.888181 52.359693,4.888301 52.359567,4.888411 52.359433,4.888626 52.359236,4.888919 52.359018,4.889243 52.358825,4.889431 52.358732,4.889633 52.358648,4.890038 52.358516,4.890423 52.358427,4.890695 52.358383,4.891044 52.358348,4.892867 52.358238,4.89258 52.356032,4.892894 52.355931,4.893325 52.355031,4.893653 52.354493,4.894575 52.353246,4.894556 52.353242,4.894789 52.352887,4.894837 52.35262,4.894912 52.351929,4.8946 52.351881,4.894774 52.351421,4.894559 52.350563,4.894543 52.350432,4.894642 52.35002,4.895296 52.34826,4.895263 52.348005,4.89128 52.348221,4.886282 52.348466,4.886527 52.350649,4.886487 52.351899,4.886498 52.35274,4.886515 52.352872,4.886599 52.353094,4.886678 52.353235,4.886772 52.353372,4.886785 52.353931,4.886778 52.354404,4.886698 52.355287,4.886582 52.356846,4.886604 52.357259,4.886795 52.359593,4.886964 52.359917,4.887389 52.360225))";"4,89078805";"52,35411355";
39;"1016";790877;"POLYGON((4.875486 52.373402,4.875474 52.373702,4.875492 52.373936,4.875514 52.374069,4.876772 52.373945,4.876926 52.373953,4.876926 52.373896,4.876866 52.373795,4.876915 52.373813,4.883182 52.375234,4.883568 52.375167,4.884289 52.375945,4.887849 52.374723,4.888005 52.374832,4.889303 52.374454,4.889259 52.374301,4.888908 52.373432,4.888821 52.373139,4.888765 52.37303,4.888509 52.372316,4.888126 52.370293,4.887827 52.368796,4.887852 52.368719,4.88806 52.368491,4.887719 52.368385,4.886703 52.368032,4.886666 52.367539,4.885875 52.367238,4.885165 52.367004,4.88462 52.366806,4.882798 52.366169,4.880913 52.365486,4.8801 52.365204,4.879225 52.364917,4.879232 52.36498,4.879218 52.365119,4.879163 52.365313,4.87907 52.365494,4.878867 52.365772,4.878701 52.365939,4.878534 52.366073,4.878397 52.366165,4.878137 52.366302,4.877889 52.366459,4.877656 52.366637,4.877518 52.366764,4.877431 52.366946,4.877363 52.367126,4.87732 52.367293,4.877265 52.367695,4.877199 52.36789,4.877059 52.368145,4.876702 52.368644,4.876661 52.368686,4.876302 52.368959,4.875992 52.369246,4.875806 52.369454,4.875674 52.369632,4.875045 52.370675,4.874504 52.371881,4.874452 52.372052,4.87444 52.372193,4.874483 52.372316,4.874556 52.372442,4.874676 52.372587,4.874782 52.372682,4.87483 52.372719,4.875169 52.372916,4.875236 52.372966,4.875295 52.373028,4.875412 52.373189,4.875461 52.373301,4.875486 52.373402))";"4,8818707";"52,3704309";
40;"1031";1270094;"POLYGON((4.896839 52.397753,4.909563 52.392942,4.910886 52.39285,4.912737 52.392138,4.912526 52.391942,4.915662 52.390738,4.918233 52.389737,4.917983 52.389509,4.917459 52.389062,4.916908 52.388627,4.916333 52.388205,4.915732 52.387796,4.915421 52.387597,4.914783 52.387209,4.914456 52.387021,4.913784 52.386656,4.912737 52.386137,4.912012 52.385811,4.903858 52.38201,4.903346 52.382016,4.902842 52.382242,4.903055 52.382833,4.902995 52.382959,4.902604 52.383113,4.902085 52.383269,4.901585 52.383587,4.901367 52.383752,4.900649 52.384423,4.900304 52.385598,4.899972 52.386608,4.898781 52.390046,4.898489 52.39082,4.898335 52.390801,4.898209 52.391239,4.898355 52.391259,4.89816 52.391834,4.897954 52.392286,4.897466 52.393872,4.897492 52.393977,4.897559 52.394002,4.897828 52.393986,4.897342 52.394661,4.896821 52.395654,4.896539 52.395603,4.896307 52.395894,4.896803 52.396029,4.896665 52.396308,4.896616 52.396647,4.896621 52.39683,4.896678 52.397186,4.896839 52.397753))";"4,90726895";"52,38988205";
