sjvg,postcode
1563.9203980099503,1011
2734.468503937008,1012
1343.6020066889632,1013
7050.166666666667,1014
1399.818991097923,1015
1706.7191780821918,1016
2475.4323529411763,1017
1376.8915662650602,1018
946.2727272727273,1019
1292.88125,1021
1420.7543859649122,1022
1445.3868613138686,1023
1045.521582733813,1024
908.4276923076923,1025
2390.214285714286,1026
2232.5555555555557,1027
2412.4166666666665,1028
1328.543624161074,1031
1676.0969696969696,1032
1337.2814569536424,1033
1139.946996466431,1034
1382.75799086758,1035
994.5,1036
1669.0,1037
4403.333333333333,1041
6142.142857142857,1042
6467.2,1043
2574.0,1045
3987.9473684210525,1046
9566.0,1047
932.0801526717557,1051
1038.3936170212767,1052
1035.4268292682927,1053
1477.7926829268292,1054
1021.189701897019,1055
1082.9025157232704,1056
1003.1993957703927,1057
1114.5812274368232,1058
1314.7727272727273,1059
1408.5280898876404,1060
1189.2325581395348,1061
1001.3767123287671,1062
1193.1149825783973,1063
1034.9363636363637,1064
1186.4978354978355,1065
1416.934865900383,1066
1203.2926829268292,1067
951.3894389438943,1068
1104.250936329588,1069
2244.614942528736,1071
1172.9263157894736,1072
1134.6139705882354,1073
1313.9764705882353,1074
1904.15234375,1075
1002.9339207048458,1076
1921.5243902439024,1077
1261.1197604790418,1078
1189.3456090651557,1079
1346.3870967741937,1081
836.8560311284047,1082
967.9135802469136,1083
1436.0,1086
1132.367549668874,1091
1220.5132275132275,1092
1145.922619047619,1093
1009.4861660079051,1094
1068.4742268041236,1095
4481.916666666667,1096
1242.5561959654178,1097
1429.8690909090908,1098
6242.444444444444,1101
928.8675799086758,1102
604.3414634146342,1103
1064.9777777777779,1104
7899.6,1105
1387.3799392097264,1106
1205.032786885246,1107
1257.1632653061224,1108
1449.2058823529412,1109
