sjvg,postcode
1661.4040404040404,1011
2851.9678714859438,1012
1405.3758389261745,1013
5609.0,1014
1495.3976261127596,1015
1873.8137931034482,1016
2581.4749262536875,1017
1435.7,1018
996.2196531791908,1019
1362.50625,1021
1525.8909090909092,1022
1520.5036496350365,1023
1080.021582733813,1024
938.7753846153846,1025
2457.0,1026
2203.1111111111113,1027
2582.5833333333335,1028
1436.6308724832215,1031
1739.9030303030304,1032
1394.7,1033
1175.0070671378091,1034
1453.0921658986176,1035
1052.7,1036
1807.0,1037
4769.0,1041
6358.142857142857,1042
6815.75,1043
2877.0,1045
4507.631578947368,1046
2714.0,1047
970.7846153846153,1051
1117.7198581560283,1052
1087.5460122699387,1053
1566.7987804878048,1054
1095.0135501355014,1055
1166.9968553459119,1056
1067.1027190332327,1057
1178.9097472924188,1058
1361.2900763358778,1059
1391.3483146067415,1060
1274.0755813953488,1061
1021.7260273972603,1062
1271.766550522648,1063
1096.7939393939394,1064
1259.1688311688313,1065
1461.8803088803088,1066
1270.8837920489298,1067
998.5761589403974,1068
1131.966037735849,1069
2442.557803468208,1071
1213.4330985915492,1072
1196.4669117647059,1073
1387.9176470588236,1074
2071.98031496063,1075
1061.8458149779735,1076
2064.4362139917694,1077
1306.9850746268658,1078
1217.4415954415954,1079
1400.784946236559,1081
847.59765625,1082
995.8703703703703,1083
1373.5,1086
1224.43853820598,1091
1264.390374331551,1092
1162.6993865030674,1093
1052.9285714285713,1094
1138.2487046632125,1095
4730.909090909091,1096
1332.4524495677233,1097
1512.7818181818182,1098
6468.75,1101
940.6589861751152,1102
624.089430894309,1103
1112.5777777777778,1104
8538.6,1105
1416.498480243161,1106
1252.9139344262296,1107
1130.5816326530612,1108
1581.7941176470588,1109
