sjve,postcode
3878.1458333333335,1011
9509.255892255893,1012
3575.665653495441,1013
9445.958333333334,1014
3074.2602339181285,1015
4251.953795379538,1016
6625.516949152542,1017
3086.1017441860463,1018
3924.490566037736,1019
2820.855421686747,1021
3240.1428571428573,1022
2726.4,1023
2710.1433333333334,1024
3064.6360946745563,1025
6195.466666666666,1026
6451.0625,1027
5775.0,1028
3433.3558282208587,1031
3607.365714285714,1032
3885.009259259259,1033
2760.047923322684,1034
3425.3407079646017,1035
3766.681818181818,1036
3594.5,1037
16672.8,1041
22012.125,1042
10366.9375,1043
19236.0,1044
11202.666666666666,1045
14883.863636363636,1046
11024.42857142857,1047
2606.3483146067415,1051
2417.056338028169,1052
2801.940828402367,1053
3325.6745562130177,1054
2281.128947368421,1055
2275.489096573209,1056
2247.1741741741744,1057
2395.9010600706715,1058
3210.8057553956833,1059
3880.82,1060
2847.5048543689322,1061
2975.6488095238096,1062
2880.5254237288136,1063
2340.779369627507,1064
2877.2365145228214,1065
3455.693379790941,1066
3137.4109195402298,1067
2981.789317507418,1068
3038.9695121951218,1069
5636.9405405405405,1071
3256.1742160278745,1072
2558.4688644688645,1073
2746.0689655172414,1074
4295.352272727273,1075
2786.032,1076
4869.159609120521,1077
2901.085545722714,1078
2432.168044077135,1079
4048.6299212598424,1081
2945.705673758865,1082
2737.7953216374267,1083
4353.441176470588,1086
4318.489051094891,1087
2507.464285714286,1091
2464.520202020202,1092
3036.988950276243,1093
2434.6743295019155,1094
2895.823529411765,1095
8511.605263157895,1096
2318.463687150838,1097
3326.6809210526317,1098
14210.0,1099
12636.368421052632,1101
3768.814814814815,1102
3695.9823788546255,1103
3369.0975609756097,1104
13615.166666666666,1105
2921.7395209580836,1106
2626.918699186992,1107
2767.2475247524753,1108
3461.3333333333335,1109
