sjve,postcode
4138.302127659575,1011
9890.809027777777,1012
3738.878048780488,1013
11208.625,1014
3395.5601173020527,1015
4635.566666666667,1016
7057.781869688385,1017
3424.7278106508875,1018
4360.434615384615,1019
3150.3373493975905,1021
2948.5593220338983,1022
2897.448275862069,1023
2740.2693602693603,1024
3412.508875739645,1025
6005.333333333333,1026
6711.071428571428,1027
6272.666666666667,1028
3343.090322580645,1031
4038.2603550295858,1032
4037.323987538941,1033
2972.2580645161293,1034
3743.761261261261,1035
3765.3571428571427,1036
3979.0,1037
18233.75,1041
23408.625,1042
13002.3,1043
12436.0,1044
13880.666666666666,1045
15220.863636363636,1046
9486.285714285714,1047
2729.566037735849,1051
2668.799295774648,1052
2908.779104477612,1053
3677.8809523809523,1054
2500.2664907651715,1055
2473.04375,1056
2396.087087087087,1057
2694.8021201413426,1058
3225.0962962962963,1059
4181.98,1060
2955.9701492537315,1061
3489.404761904762,1062
3036.0408163265306,1063
2550.8579710144927,1064
2819.390756302521,1065
3772.9858156028367,1066
3241.177142857143,1067
3103.7319277108436,1068
3343.435582822086,1069
6041.896457765668,1071
3433.09375,1072
2823.2783882783883,1073
3044.884393063584,1074
4626.784615384616,1075
2925.4658634538155,1076
5350.189368770764,1077
3082.566371681416,1078
2606.5833333333335,1079
4266.672,1081
3106.146953405018,1082
2934.4912280701756,1083
4265.666666666667,1086
4390.936507936508,1087
2855.5537459283387,1091
2729.127551020408,1092
3809.316091954023,1093
2509.5945945945946,1094
2979.224880382775,1095
7710.793103448276,1096
2526.7709497206706,1097
3572.161716171617,1098
19338.666666666668,1099
13258.736842105263,1101
4005.7873134328356,1102
3881.2546296296296,1103
3642.277777777778,1104
14384.833333333334,1105
3288.7289156626507,1106
2944.7926829268295,1107
2866.36,1108
3803.6176470588234,1109
