sjvg,postcode
1543.55223880597,1011
2774.25390625,1012
1332.1633333333334,1013
6136.571428571428,1014
1402.0504451038576,1015
1684.6894197952217,1016
2457.0557184750733,1017
1359.7537537537537,1018
935.9435028248588,1019
1271.26875,1021
1441.3859649122808,1022
1438.1884057971015,1023
1041.0611510791366,1024
897.1169230769231,1025
2282.4285714285716,1026
2254.222222222222,1027
2444.5,1028
1344.2516556291391,1031
1650.1746987951808,1032
1317.1320132013202,1033
1168.5371024734982,1034
1388.2863636363636,1035
999.7,1036
1655.0,1037
5007.666666666667,1041
6028.285714285715,1042
6022.6,1043
2923.0,1045
3375.6666666666665,1046
13095.5,1047
907.8473282442748,1051
1024.386524822695,1052
1020.0212765957447,1053
1469.19452887538,1054
1010.3712737127371,1055
1066.1415094339623,1056
986.404833836858,1057
1091.71119133574,1058
1326.0751879699249,1059
1333.426966292135,1060
1153.843023255814,1061
995.156462585034,1062
1206.2508710801394,1063
1009.0543806646525,1064
1172.4242424242425,1065
1403.4583333333333,1066
1222.3871951219512,1067
934.0855263157895,1068
1095.9812734082398,1069
2240.1063218390805,1071
1166.578947368421,1072
1116.4595588235295,1073
1311.1470588235295,1074
1902.6653696498054,1075
1009.7885462555066,1076
1880.8461538461538,1077
1259.0928143712574,1078
1194.7146892655367,1079
1334.9789473684211,1081
852.0232558139535,1082
942.0308641975308,1083
1419.5,1086
1112.2814569536424,1091
1174.873015873016,1092
1093.6627218934912,1093
999.3557312252965,1094
1056.2474226804125,1095
4576.75,1096
1222.1671469740634,1097
1400.7636363636364,1098
6153.0,1101
929.9771689497717,1102
579.869918699187,1103
1049.4962962962964,1104
7638.2,1105
1381.9574468085107,1106
1215.627049180328,1107
1353.020202020202,1108
1431.1764705882354,1109
